#633-NPs water	
# Wavelength (nm)	%R
1782	39.82065964
1781	39.81860733
1780	39.71937561
1779	39.71548462
1778	39.74129486
1777	39.73313904
1776	39.69164658
1775	39.6755867
1774	39.71258926
1773	39.68386459
1772	39.67414093
1771	39.66254425
1770	39.74264908
1769	39.67304993
1768	39.65513229
1767	39.60509109
1766	39.67889404
1765	39.6460228
1764	39.57898712
1763	39.54793549
1762	39.50401688
1761	39.51247787
1760	39.57384109
1759	39.56362152
1758	39.5533905
1757	39.56158829
1756	39.54258728
1755	39.53988647
1754	39.47266388
1753	39.42978668
1752	39.43519211
1751	39.39943695
1750	39.44504547
1749	39.47507095
1748	39.3832283
1747	39.36819839
1746	39.32758713
1745	39.43078995
1744	39.38113022
1743	39.37547302
1742	39.38913727
1741	39.26553345
1740	39.32627869
1739	39.23860931
1738	39.26445007
1737	39.31361771
1736	39.25041962
1735	39.19237137
1734	39.2534523
1733	39.23923492
1732	39.2096405
1731	39.22774124
1730	39.16242599
1729	39.22665024
1728	39.17900467
1727	39.1527977
1726	39.16510391
1725	39.1657753
1724	39.04054642
1723	39.15294647
1722	39.14869308
1721	39.0391922
1720	39.03332901
1719	39.08328247
1718	39.07674789
1717	39.04796982
1716	38.98626709
1715	38.99483871
1714	38.929245
1713	38.93312073
1712	38.98543549
1711	38.952034
1710	38.87930679
1709	38.85521317
1708	38.87390137
1707	38.84655762
1706	38.82164001
1705	38.82556534
1704	38.7308197
1703	38.72842026
1702	38.77060318
1701	38.78218842
1700	38.72326279
1699	38.76673889
1698	38.7118454
1697	38.67252731
1696	38.66376114
1695	38.64774704
1694	38.64757156
1693	38.62140656
1692	38.57775116
1691	38.55823135
1690	38.53086472
1689	38.53791809
1688	38.50650024
1687	38.44907761
1686	38.5089035
1685	38.42887497
1684	38.46809769
1683	38.43633652
1682	38.3956604
1681	38.35490036
1680	38.37120438
1679	38.34516525
1678	38.30886078
1677	38.29457474
1676	38.27255249
1675	38.20052719
1674	38.18699265
1673	38.19389725
1672	38.223423
1671	38.18964386
1670	38.17405319
1669	38.07478333
1668	38.09598541
1667	38.07881927
1666	38.09403992
1665	37.9835701
1664	38.00406647
1663	38.00255966
1662	37.91306305
1661	37.95087814
1660	37.9692955
1659	37.92830658
1658	37.8418541
1657	37.86758041
